sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,num_cases
Alabama,2020-02-15,5.0,2.0,39.0,7.0,2.0,-1.0,0.0
Alabama,2020-02-16,0.0,-2.0,-7.0,3.0,-1.0,1.0,0.0
Alabama,2020-02-17,3.0,0.0,17.0,7.0,-17.0,4.0,0.0
Alabama,2020-02-18,-4.0,-3.0,-11.0,-1.0,1.0,2.0,0.0
Alabama,2020-02-19,4.0,1.0,6.0,4.0,1.0,0.0,0.0
Alabama,2020-02-20,-7.0,-6.0,-25.0,-1.0,0.0,3.0,0.0
Alabama,2020-02-21,3.0,0.0,12.0,9.0,1.0,0.0,0.0
Alabama,2020-02-22,5.0,4.0,46.0,13.0,6.0,-1.0,0.0
Alabama,2020-02-23,3.0,2.0,24.0,16.0,2.0,0.0,0.0
Alabama,2020-02-24,-2.0,-3.0,-13.0,2.0,-2.0,2.0,0.0
Alabama,2020-02-25,7.0,3.0,27.0,7.0,-1.0,0.0,0.0
Alabama,2020-02-26,16.0,5.0,7.0,11.0,0.0,-1.0,0.0
Alabama,2020-02-27,12.0,6.0,14.0,9.0,2.0,-1.0,0.0
Alabama,2020-02-28,12.0,6.0,20.0,10.0,1.0,-1.0,0.0
Alabama,2020-02-29,15.0,10.0,55.0,20.0,5.0,-3.0,0.0
Alabama,2020-03-01,16.0,10.0,53.0,21.0,4.0,-2.0,0.0
Alabama,2020-03-02,8.0,4.0,-2.0,5.0,2.0,0.0,0.0
Alabama,2020-03-03,20.0,15.0,33.0,5.0,2.0,-1.0,0.0
Alabama,2020-03-04,7.0,0.0,-8.0,2.0,0.0,1.0,0.0
Alabama,2020-03-05,7.0,6.0,0.0,4.0,2.0,1.0,0.0
Alabama,2020-03-06,9.0,4.0,29.0,10.0,2.0,-1.0,0.0
Alabama,2020-03-07,12.0,8.0,63.0,18.0,7.0,-2.0,0.0
Alabama,2020-03-08,12.0,8.0,55.0,20.0,3.0,-1.0,0.0
Alabama,2020-03-09,10.0,8.0,45.0,9.0,2.0,-1.0,0.0
Alabama,2020-03-10,9.0,8.0,21.0,4.0,1.0,0.0,0.0
Alabama,2020-03-11,10.0,8.0,27.0,7.0,1.0,-1.0,0.0
Alabama,2020-03-12,10.0,22.0,43.0,8.0,1.0,-1.0,0.0
Alabama,2020-03-13,7.0,32.0,26.0,7.0,-2.0,0.0,0.00291355808229
Alabama,2020-03-14,1.0,28.0,55.0,12.0,4.0,0.0,0.00291355808229
Alabama,2020-03-15,-7.0,16.0,16.0,6.0,-4.0,2.0,0.064098277810385
Alabama,2020-03-16,-2.0,24.0,22.0,2.0,-10.0,4.0,0.08449318438641701
Alabama,2020-03-17,-11.0,17.0,25.0,-1.0,-17.0,7.0,0.113628765209319
Alabama,2020-03-18,-13.0,13.0,39.0,-3.0,-22.0,8.0,0.148591462196802
Alabama,2020-03-19,-20.0,15.0,27.0,-8.0,-25.0,10.0,0.22725753041863897
Alabama,2020-03-20,-27.0,10.0,7.0,-14.0,-29.0,14.0,0.305923598640476
Alabama,2020-03-21,-35.0,5.0,10.0,-13.0,-16.0,8.0,0.37876255069773207
Alabama,2020-03-22,-40.0,-7.0,2.0,-22.0,-27.0,9.0,0.39333034110918297
Alabama,2020-03-23,-33.0,-6.0,-11.0,-22.0,-33.0,14.0,0.486564199742471
Alabama,2020-03-24,-32.0,-5.0,4.0,-18.0,-34.0,15.0,0.591452290704919
Alabama,2020-03-25,-28.0,-4.0,36.0,-15.0,-36.0,13.0,0.9760419575672321
Alabama,2020-03-26,-30.0,-3.0,32.0,-19.0,-36.0,14.0,1.31984181127748
Alabama,2020-03-27,-30.0,-2.0,30.0,-24.0,-37.0,16.0,1.5529264578606998
Alabama,2020-03-28,-36.0,-2.0,22.0,-25.0,-22.0,9.0,1.71608571046895
Alabama,2020-03-29,-41.0,-13.0,19.0,-30.0,-32.0,9.0,1.96082458938133
Alabama,2020-03-30,-33.0,-10.0,10.0,-25.0,-38.0,14.0,2.18808211979997
Alabama,2020-03-31,-36.0,-11.0,-23.0,-26.0,-40.0,17.0,2.20556346829371
Alabama,2020-04-01,-25.0,5.0,19.0,-20.0,-39.0,14.0,2.0977618192489698
Alabama,2020-04-02,-32.0,3.0,12.0,-25.0,-39.0,16.0,2.1531194228124897
Alabama,2020-04-03,-29.0,12.0,17.0,-29.0,-40.0,16.0,2.61054804173206
Alabama,2020-04-04,-41.0,8.0,4.0,-33.0,-26.0,11.0,2.66007852913099
Alabama,2020-04-05,-50.0,-18.0,-1.0,-40.0,-36.0,12.0,2.9456072211954396
Alabama,2020-04-06,-37.0,-10.0,3.0,-29.0,-41.0,16.0,3.0854580091453703
Alabama,2020-04-07,-39.0,-11.0,-15.0,-31.0,-42.0,18.0,3.49044258258371
Alabama,2020-04-08,-36.0,-9.0,-1.0,-30.0,-43.0,17.0,4.05858640863031
Alabama,2020-04-09,-35.0,-4.0,5.0,-31.0,-43.0,18.0,4.568459073031099
Alabama,2020-04-10,-34.0,-4.0,4.0,-37.0,-48.0,20.0,4.29167105521353
Alabama,2020-04-11,-39.0,3.0,11.0,-35.0,-29.0,10.0,4.74618611605081
Alabama,2020-04-12,-64.0,-47.0,-50.0,-51.0,-45.0,13.0,5.075418179349599
Alabama,2020-04-13,-31.0,-11.0,-3.0,-29.0,-41.0,15.0,5.23566387387557
Alabama,2020-04-14,-30.0,-8.0,3.0,-27.0,-40.0,16.0,5.11620799250167
Alabama,2020-04-15,-19.0,-2.0,10.0,-24.0,-40.0,15.0,5.075418179349599
Alabama,2020-04-16,-26.0,-3.0,7.0,-27.0,-39.0,16.0,4.562631956866519
Alabama,2020-04-17,-29.0,-8.0,19.0,-30.0,-40.0,17.0,4.556804840701941
Alabama,2020-04-18,-33.0,-5.0,12.0,-26.0,-24.0,9.0,4.256708358226049
Alabama,2020-04-19,-45.0,-24.0,-44.0,-45.0,-37.0,12.0,3.9711796661616003
Alabama,2020-04-20,-23.0,-6.0,13.0,-25.0,-39.0,14.0,5.40173668456611
Alabama,2020-04-21,-23.0,-4.0,18.0,-23.0,-38.0,15.0,5.70183316704201
Alabama,2020-04-22,-23.0,-3.0,13.0,-22.0,-40.0,15.0,5.33472484867344
Alabama,2020-04-23,-35.0,-13.0,-31.0,-33.0,-42.0,20.0,5.56489593717437
Alabama,2020-04-24,-26.0,-4.0,22.0,-26.0,-39.0,16.0,4.23631345165001
Alabama,2020-04-25,-31.0,-3.0,17.0,-23.0,-23.0,9.0,4.341201542612461
Alabama,2020-04-26,-30.0,-7.0,15.0,-29.0,-31.0,8.0,5.500797659363981
Alabama,2020-04-27,-20.0,-4.0,20.0,-21.0,-37.0,14.0,2.5697582285799903
Alabama,2020-04-28,-21.0,-2.0,22.0,-20.0,-37.0,8.0,3.6128120220399
Alabama,2020-04-29,-22.0,-4.0,-11.0,-24.0,-39.0,16.0,3.6128120220399
Alabama,2020-04-30,-18.0,3.0,15.0,-18.0,-37.0,14.0,3.4991832568305803
Alabama,2020-05-01,-16.0,6.0,39.0,-17.0,-36.0,13.0,3.69439164834403
Alabama,2020-05-02,-21.0,8.0,61.0,-11.0,-20.0,6.0,4.07315419904176
Alabama,2020-05-03,-20.0,4.0,52.0,-18.0,-27.0,6.0,3.0708902187339198
Alabama,2020-05-04,-11.0,6.0,25.0,-15.0,-33.0,11.0,5.797980583757581
Alabama,2020-05-05,-12.0,9.0,16.0,-14.0,-33.0,12.0,5.07833173743189
Alabama,2020-05-06,-11.0,8.0,33.0,-11.0,-34.0,12.0,4.0177965954782495
Alabama,2020-05-07,-15.0,8.0,33.0,-12.0,-34.0,12.0,5.69309249279514
Alabama,2020-05-08,-22.0,1.0,-1.0,-17.0,-35.0,15.0,7.48493071340364
Alabama,2020-05-09,-15.0,20.0,39.0,-3.0,-18.0,5.0,7.391696854770349
Alabama,2020-05-10,-19.0,13.0,53.0,-10.0,-23.0,4.0,7.228537602162089
Alabama,2020-05-11,-11.0,1.0,33.0,-8.0,-31.0,10.0,6.176743134455321
Alabama,2020-05-12,-9.0,4.0,28.0,-9.0,-30.0,11.0,5.84751107115652
Alabama,2020-05-13,-5.0,5.0,46.0,-8.0,-31.0,10.0,7.21105625366835
Alabama,2020-05-14,-10.0,5.0,38.0,-11.0,-31.0,11.0,6.11555841472722
Alabama,2020-05-15,-13.0,1.0,46.0,-12.0,-32.0,11.0,5.92035002321378
Alabama,2020-05-16,-15.0,8.0,71.0,-4.0,-14.0,4.0,6.068941485410581
Alabama,2020-05-17,-18.0,-1.0,30.0,-12.0,-21.0,6.0,4.08480843137092
Alabama,2020-05-18,-8.0,1.0,16.0,-12.0,-29.0,10.0,6.37486508405105
Alabama,2020-05-19,-6.0,6.0,35.0,-10.0,-28.0,10.0,4.3004117294604
Alabama,2020-05-20,-1.0,7.0,44.0,-4.0,-30.0,9.0,6.98088516516742
Alabama,2020-05-21,-5.0,9.0,40.0,-4.0,-30.0,10.0,6.83229370297062
Alabama,2020-05-22,-11.0,4.0,40.0,-3.0,-32.0,11.0,6.733232728172751
Alabama,2020-05-23,-14.0,10.0,68.0,3.0,-14.0,4.0,7.05663767530697
Alabama,2020-05-24,-13.0,10.0,89.0,-8.0,-21.0,3.0,9.416619721962071
Alabama,2020-05-25,-20.0,0.0,84.0,-15.0,-67.0,17.0,7.81416277670243
Alabama,2020-05-26,-12.0,0.0,1.0,-8.0,-30.0,11.0,10.7685106721447
Alabama,2020-05-27,-9.0,0.0,14.0,-8.0,-30.0,11.0,8.66492173673118
Alabama,2020-05-28,-6.0,7.0,31.0,-4.0,-28.0,10.0,9.02911649701746
Alabama,2020-05-29,-9.0,2.0,45.0,-5.0,-28.0,10.0,9.92649238636286
Alabama,2020-05-30,-11.0,7.0,75.0,8.0,-6.0,3.0,9.57395185840574
Alabama,2020-05-31,-9.0,5.0,79.0,3.0,-14.0,3.0,10.2877735885669
Alabama,2020-06-01,-1.0,8.0,46.0,-1.0,-28.0,8.0,9.34378076990481
Alabama,2020-06-02,-4.0,7.0,36.0,-3.0,-27.0,9.0,8.72902001454157
Alabama,2020-06-03,1.0,9.0,44.0,-1.0,-28.0,8.0,7.61021371094212
Alabama,2020-06-04,-6.0,8.0,35.0,-4.0,-27.0,9.0,6.92261400352162
Alabama,2020-06-05,-10.0,2.0,41.0,-5.0,-28.0,10.0,6.1097312985626395
Alabama,2020-06-06,-11.0,8.0,55.0,7.0,-9.0,3.0,7.13530374352881
Alabama,2020-06-07,-15.0,-1.0,36.0,-7.0,-17.0,5.0,6.701183589267559
Alabama,2020-06-08,-10.0,-1.0,10.0,-10.0,-28.0,10.0,8.900919941396689
Alabama,2020-06-09,-8.0,1.0,9.0,-7.0,-27.0,10.0,7.88117461259511
Alabama,2020-06-10,-1.0,6.0,43.0,-2.0,-27.0,8.0,9.367089234563132
Alabama,2020-06-11,-3.0,7.0,60.0,2.0,-26.0,8.0,11.153100339007098
Alabama,2020-06-12,-7.0,3.0,71.0,1.0,-27.0,8.0,12.752643726184402
Alabama,2020-06-13,-9.0,8.0,92.0,18.0,-6.0,2.0,15.6166713210757
Alabama,2020-06-14,-8.0,5.0,75.0,10.0,-14.0,2.0,16.994784293999
Alabama,2020-06-15,-3.0,4.0,61.0,1.0,-27.0,7.0,15.494301881619501
Alabama,2020-06-16,-3.0,6.0,60.0,0.0,-26.0,8.0,16.1032355208182
Alabama,2020-06-17,1.0,7.0,68.0,1.0,-28.0,7.0,15.6224984372403
Alabama,2020-06-18,-4.0,6.0,58.0,3.0,-27.0,8.0,15.7565221090256
Alabama,2020-06-19,-6.0,5.0,72.0,4.0,-29.0,6.0,15.5846221821705
Alabama,2020-06-20,-6.0,14.0,93.0,20.0,-7.0,1.0,12.306869339594
